name,playerId,teamId,teamName,age,height,weight,positionText,season
Ísak Jóhannesson,406062,282,FC Koln,23,180,72,Midfielder,2026_27
Noahkai Banks,532785,1730,Augsburg,19,193,93,Defender,2026_27
David Mokwa,549132,1134,Elversberg,22,181,81,Forward,2026_27
Jano ter Horst,494154,810,Paderborn,24,181,79,Defender,2026_27
Tim Skarke,285654,796,Union Berlin,29,181,78,Midfielder,2026_27
Robin Koch,276205,45,Eintracht Frankfurt,30,192,85,Defender,2026_27
David Raum,330538,7614,RB Leipzig,28,180,75,Defender,2026_27
Fabio Gruber,552278,219,Mainz 05,24,188,69,Defender,2026_27
Jan Gyamerah,132011,1134,Elversberg,31,184,79,Defender,2026_27
Lukas Kübler,111306,50,Freiburg,34,182,78,Defender,2026_27
Santiago Castañeda,531855,810,Paderborn,21,188,74,Midfielder,2026_27
Noah Atubolu,428308,45,Eintracht Frankfurt,24,191,98,Goalkeeper,2026_27
Patrik Schick,243565,36,Bayer Leverkusen,30,191,86,Forward,2026_27
Nahuel Noll,416165,810,Paderborn,23,190,75,Goalkeeper,2026_27
Philipp Lienhart,298446,50,Freiburg,30,189,86,Defender,2026_27
Harry Kane,83532,37,Bayern Munich,33,188,86,Forward,2026_27
Maximilian Beier,387125,44,Borussia Dortmund,23,183,72,Forward,2026_27
Anthony Caci,321145,219,Mainz 05,29,184,76,Defender,2026_27
Matthias Ginter,110182,50,Freiburg,32,191,89,Defender,2026_27
Franck Honorat,137837,134,Borussia M.Gladbach,30,180,70,Midfielder,2026_27
Loris Karius,107176,39,Schalke 04,33,190,90,Goalkeeper,2026_27
Nicolas Seiwald,418587,7614,RB Leipzig,25,180,80,Midfielder,2026_27
Bambasé Conté,433100,1211,Hoffenheim,23,182,76,Midfielder,2026_27
Vladimír Coufal,111372,1211,Hoffenheim,34,174,76,Defender,2026_27
Tidiam Gomis,511411,7614,RB Leipzig,20,182,71,Forward,2026_27
Waldemar Anton,296768,44,Borussia Dortmund,30,189,86,Defender,2026_27
Dominik Kohr,110165,219,Mainz 05,32,183,77,Defender,2026_27
Alphonso Davies,320040,37,Bayern Munich,25,185,77,Defender,2026_27
Konrad Laimer,248010,37,Bayern Munich,29,180,72,Midfielder,2026_27
Luka Lochoshvili,404262,282,FC Koln,28,191,84,Defender,2026_27
Miguel Gutiérrez,395788,36,Bayer Leverkusen,25,180,73,Defender,2026_27
Christian Kofane,550465,36,Bayer Leverkusen,20,189,80,Forward,2026_27
Kaishu Sano,509815,219,Mainz 05,25,176,67,Midfielder,2026_27
