name,playerId,teamId,teamName,age,height,weight,positionText,season
Frank Onyeka,404109,17,Coventry,28,183,70,Midfielder,2026_27
Ian Maatsen,384134,24,Aston Villa,24,178,57,Defender,2026_27
Brian Brobbey,404568,16,Sunderland,24,181,80,Forward,2026_27
Daniel Jebbison,415163,183,Bournemouth,23,188,84,Forward,2026_27
John McGinn,318449,24,Aston Villa,31,178,68,Midfielder,2026_27
Pep Chavarría,448468,15,Chelsea,28,174,72,Defender,2026_27
Piero Hincapié,404832,13,Arsenal,24,183,77,Defender,2026_27
Alejandro Garnacho,437022,24,Aston Villa,22,180,73,Forward,2026_27
Destiny Udogie,401044,30,Tottenham,23,186,73,Defender,2026_27
Aaron Hickey,402367,189,Brentford,24,185,72,Defender,2026_27
Benjamin Sesko,424191,32,Manchester United,23,195,85,Forward,2026_27
Chris Wood,73380,174,Nottingham Forest,34,191,94,Forward,2026_27
Dominic Solanke,136459,30,Tottenham,28,187,80,Forward,2026_27
Marco Bizot,83824,24,Aston Villa,35,193,88,Goalkeeper,2026_27
Estêvão,510728,15,Chelsea,19,178,62,Forward,2026_27
Alex Tóth,476166,183,Bournemouth,20,181,0,Midfielder,2026_27
Habib Diarra,422818,16,Sunderland,22,178,74,Midfielder,2026_27
Robert Sánchez,362151,15,Chelsea,28,197,90,Goalkeeper,2026_27
Xaver Schlager,262856,174,Nottingham Forest,28,174,78,Midfielder,2026_27
Sandro Tonali,343501,30,Tottenham,26,181,79,Midfielder,2026_27
Sean Steur,552573,23,Newcastle,18,183,0,Midfielder,2026_27
Chris Rigg,469645,16,Sunderland,19,177,65,Midfielder,2026_27
Luca Netz,394888,174,Nottingham Forest,23,180,83,Defender,2026_27
Rodrigo Bentancur,303657,30,Tottenham,29,187,72,Midfielder,2026_27
Dwight McNeil,357427,162,Crystal Palace,26,183,68,Forward,2026_27
Levi Colwill,421351,15,Chelsea,23,187,83,Defender,2026_27
Matty Cash,322043,24,Aston Villa,29,185,79,Defender,2026_27
Ayden Heaven,517341,32,Manchester United,19,189,77,Defender,2026_27
Ben Gannon-Doak,430350,183,Bournemouth,20,173,65,Forward,2026_27
Boubacar Kamara,331790,24,Aston Villa,26,184,68,Midfielder,2026_27
Alisson Becker,114147,26,Liverpool,33,193,91,Goalkeeper,2026_27
Calvin Bassey,396976,170,Fulham,26,185,76,Defender,2026_27
Richarlison,317804,30,Tottenham,29,184,83,Forward,2026_27
Youri Tielemans,136345,32,Manchester United,29,176,72,Midfielder,2026_27
Conor Gallagher,375621,30,Tottenham,26,183,77,Midfielder,2026_27
Wilson Isidor,363535,16,Sunderland,26,184,72,Forward,2026_27
Jay Dasilva,318767,17,Coventry,28,170,64,Defender,2026_27
Chemsdine Talbi,476110,16,Sunderland,21,175,70,Forward,2026_27
Jacob Murphy,141486,23,Newcastle,31,179,74,Midfielder,2026_27
Caleb Yirenkyi,561984,17,Coventry,20,182,77,Midfielder,2026_27
Patrick Dorgu,495260,32,Manchester United,21,185,68,Defender,2026_27
Luke O'Nien,134373,16,Sunderland,31,174,74,Midfielder,2026_27
Daniel Muñoz,400496,162,Crystal Palace,30,181,78,Defender,2026_27
Omar Alderete,344639,16,Sunderland,29,188,77,Defender,2026_27
Milan van Ewijk,379760,17,Coventry,25,175,70,Defender,2026_27
Lucas Bergvall,505295,30,Tottenham,20,187,75,Midfielder,2026_27
Victor Lindelöf,100008,24,Aston Villa,32,187,82,Defender,2026_27
Pau Torres,344259,24,Aston Villa,29,192,81,Defender,2026_27
João Gomes,403693,24,Aston Villa,25,176,73,Midfielder,2026_27
