canonical_id,name,team,status,opta_id,whoscored_id,fotmob_id
711491,Enzo Koffi,Le Havre,existing,711491.0,584098.0,1816726.0
93264,Eric Dier,Monaco,existing,93264.0,117973.0,361315.0
564992,Ernest Nuamah,Lyon,existing,564992.0,463147.0,1338390.0
468658,Estéban Lepaul,Rennes,existing,468658.0,515577.0,1280225.0
499450,Ethan Mbappé,Lille,existing,499450.0,468859.0,1426809.0
632699,Everton Pereira,Nice,existing,632699.0,546936.0,1696775.0
201379,Fabián Ruiz,Paris Saint-Germain,existing,201379.0,294193.0,605654.0
457269,Faris Moumbagna,Cremonese,existing,457269.0,,952325.0
204188,Florian Sotoca,Lens,existing,204188.0,274934.0,612699.0
95434,Florian Thauvin,Lens,existing,95434.0,99143.0,254308.0
512759,Fodé Doucouré,Le Havre,existing,512759.0,399003.0,1180696.0
464984,Fredrik Oppegård,Auxerre,existing,464984.0,403097.0,1203189.0
449991,Félix Correia,Lille,existing,449991.0,412831.0,942358.0
665234,Gabin Bernardeau,Nice,existing,665234.0,547554.0,1668294.0
232182,Gauthier Hein,Metz,existing,232182.0,322671.0,763974.0
141109,Gautier Lloris,Le Havre,existing,141109.0,123253.0,420731.0
220560,Gaëtan Perrin,Lille,existing,220560.0,301326.0,708435.0
88754,Geoffrey Kondogbia,Marseille,existing,88754.0,91978.0,214972.0
645598,Gessime Yassine,Strasbourg,existing,645598.0,513409.0,1603755.0
546172,Guillaume Restes,Toulouse,existing,546172.0,468899.0,1524210.0
503720,Guéla Doué,Strasbourg,existing,503720.0,447449.0,1395704.0
641036,Hamidou Makalou,Brest,existing,641036.0,,1581744.0
619512,Hamza Koutoune,Nice,existing,619512.0,575454.0,1796096.0
619025,Harouna Djibirin,Angers,existing,619025.0,591723.0,1832893.0
684058,Henrick Do Marcolino,Rennes,existing,684058.0,550830.0,1707955.0
462609,Himad Abdelli,Marseille,existing,462609.0,447045.0,956659.0
243741,Hugo Magnetti,Brest,existing,243741.0,330614.0,812415.0
484842,Hákon Haraldsson,Lille,existing,484842.0,424252.0,1044470.0
483320,Igor Paixão,Marseille,existing,483320.0,436553.0,1265963.0
511182,Ilan Kebbal,Paris FC,existing,511182.0,422186.0,999690.0
633698,Ilane Touré,Monaco,existing,633698.0,605151.0,1815791.0
477580,Illia Zabarnyi,Paris Saint-Germain,existing,477580.0,,1140003.0
616245,Ilyas Azizi,Toulouse,existing,616245.0,559897.0,1751857.0
669390,Isaac Cossier,Lille,existing,669390.0,541108.0,1680590.0
512745,Isaak Touré,Lorient,existing,512745.0,,
469169,Isak Jansson,Nice,existing,469169.0,407884.0,944385.0
596121,Ismaëlo Ganiou,Lens,existing,596121.0,456795.0,1406645.0
620407,Ismaïl Bouneb,Le Havre,existing,620407.0,,1487952.0
495382,Issa Soumaré,Le Havre,existing,495382.0,422864.0,1103837.0
448010,Jacen Russell-Rowe,Toulouse,existing,448010.0,439236.0,1106866.0
564920,Jacques Ekomié,Angers,existing,564920.0,430710.0,1327156.0
424920,Jean-Philippe Krasso,Paris FC,existing,424920.0,,853108.0
199666,Jean-Victor Makengo,Lorient,existing,199666.0,300634.0,699461.0
216272,Jeffrey de Lange,Marseille,existing,216272.0,379703.0,687868.0
473389,Jim Allevinah,Angers,existing,473389.0,422188.0,1011026.0
221095,Jonathan Clauss,Nice,existing,221095.0,301869.0,715301.0
228289,Jordan Lefort,Angers,existing,228289.0,361890.0,492116.0
222695,Jordan Teze,Monaco,existing,222695.0,,890263.0
477711,Joris Chotard,Brest,existing,477711.0,380645.0,1079548.0
509284,Josué Casimir,Auxerre,existing,509284.0,486042.0,1199382.0
551150,João Neves,Paris Saint-Germain,existing,551150.0,465388.0,1342757.0
648413,Julián Vignolo,Toulouse,existing,648413.0,578793.0,1611220.0
592507,Junior Diaz,Brest,existing,592507.0,455459.0,
578052,Junior Mwanga,Strasbourg,existing,578052.0,437775.0,1362622.0
559827,Kamory Doumbia,Brest,existing,559827.0,427362.0,1310270.0
632700,Kaïl Boudache,Nice,existing,632700.0,513547.0,1896949.0
