source,name,native_id,master_team
fotmob,Jean-Mattéo Bahoya,1393672,Eintracht Frankfurt
fotmob,Chema Andrés,1586552,Stuttgart
fotmob,Ainsley Maitland-Niles,604089,Lyon
fotmob,Ben Chilwell,672469,Strasbourg
fotmob,Quinten Timber,970563,Marseille
fotmob,David Affengruber,1073980,Elche
fotmob,Hugo Larsson,1339269,Eintracht Frankfurt
fotmob,Manuel Ángel,1508427,Real Madrid
fotmob,Brooke Norton-Cuffy,1214915,Genoa
fotmob,Ibrahim Mbaye,1593857,Paris Saint-Germain
fotmob,Robinio Vaz,1705134,Marseille
fotmob,Bradley Barcola,1297165,Paris Saint-Germain
fotmob,Matias Fernandez-Pardo,1444231,Lille
fotmob,Johan Manzambi,1520063,Freiburg
fotmob,Sidiki Cherif,1524069,Angers
fotmob,Honest Ahanor,1669629,Atalanta
